case_id,template,version,section,rule
EMRT-1.11-001,EMRT,1.11,1. Declaration（公司信息必填）,公司名称、申报范围或种类、联系人姓名、联系人电邮地址、联系人电话、授权人姓名、授权人电邮地址、授权日期。
EMRT-1.11-002,EMRT,1.11,1. Declaration（公司信息必填）,申报范围=User defined → 范围描述必填。
EMRT-1.11-003,EMRT,1.11,2. 申报问题（问题 1–7）,矿种固定为钴 + 天然云母；每题需分别回答。
EMRT-1.11-004,EMRT,1.11,2. 申报问题（问题 1–7）,Q1/Q2 必填；Q3–Q7 仅当该矿种 Q1=Yes 且 Q2=Yes 时必填（见 Declaration）。
EMRT-1.11-005,EMRT,1.11,3. 公司层面问题（A–G）,A–G 为公司层面尽调问题；仅当申报问题要求时填写（与模板一致）。
EMRT-1.11-006,EMRT,1.11,4. Product List,申报范围=Product → “制造商产品编号 (*)”必填。
EMRT-1.11-007,EMRT,1.11,5. Smelter List 校验条款（条件格式）,金属为空 → 触发提示。
EMRT-1.11-008,EMRT,1.11,5. Smelter List 校验条款（条件格式）,金属已填但冶炼厂查找为空 → 触发提示。
EMRT-1.11-009,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂查找已选且不为 Smelter Not Listed，但冶炼厂名称为空 → 触发提示。
EMRT-1.11-010,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂查找=Smelter Not Listed 且冶炼厂名称为空 → 触发提示。
EMRT-1.11-011,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂查找=Smelter Not Listed 且冶炼工厂地址（国家）为空 → 触发提示。
EMRT-1.11-012,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂名称或国家包含 “!” → 触发提示。
EMRT-1.11-013,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂识别号码输入列不为空且与自动填充的冶炼厂识别不一致 → 触发提示。
EMRT-1.11-014,EMRT,1.11,5. Smelter List 校验条款（条件格式）,冶炼厂出处识别号出现 “Enter smelter details” → 触发提示。
EMRT-1.11-015,EMRT,1.11,6. Smelter not yet identified 取值核对,标准冶炼厂名称=Unknown，国家为空。
EMRT-1.11-016,EMRT,1.11,3. 公司层面问题（A–G）,"E 题若回答 “Yes, Using Other Format (Describe)” → 注释必填。"
EMRT-1.11-017,EMRT,1.11,1. Declaration（公司信息必填）,授权日期格式 DD-MMM-YYYY；DV 范围 31-Dec-2006 – 31-Mar-2026（超出仅提示不阻断；Excel 可自动格式化 YYYY-MM-DD → DD-MMM-YYYY）。
EMRT-1.11-018,EMRT,1.11,1. Declaration（公司信息必填）,申报范围下拉错误提示 Required Field / "Select from dropdown options to declare survey scope"。
